date,regime,prob_RANGING,prob_TREND,prob_HIGH_VOL
2019-08-13,RANGING,0.999970635490217,2.561362616416555e-06,2.6803147131813312e-05
2019-08-14,RANGING,0.9999794859717025,1.5533560128494835e-06,1.8960672273970885e-05
2019-08-15,RANGING,0.9999794226776286,1.3830420560135625e-06,1.9194281046228434e-05
2019-08-16,RANGING,0.9999793198668305,2.061470064441661e-06,1.861866354717931e-05
2019-08-19,RANGING,0.9999492048796104,5.350748599648212e-06,4.544437268297974e-05
2019-08-20,RANGING,0.9999580578761429,5.541673022566603e-06,3.640045151963679e-05
2019-08-21,RANGING,0.9999477113843926,7.956874024590583e-06,4.433174210921879e-05
2019-08-22,RANGING,0.9999727017999984,4.955490549734284e-06,2.2342710022619913e-05
2019-08-23,RANGING,0.9998668587215129,5.840407256126968e-06,0.000127300870612046
2019-08-26,RANGING,0.9999597645019285,4.195617403029079e-06,3.603988147812931e-05
2019-08-27,RANGING,0.999954422070067,6.47457360234829e-06,3.910335655548453e-05
2019-08-28,RANGING,0.9999308381446121,1.1642106163653502e-05,5.751975006018501e-05
2019-08-29,RANGING,0.9999690479823512,9.295990352589761e-06,2.1656026588381325e-05
2019-08-30,RANGING,0.999961788972277,1.2064771754556727e-05,2.6146255127510352e-05
2019-09-02,RANGING,0.9998799014357507,4.44230668777747e-05,7.5675497539379e-05
2019-09-03,RANGING,0.9999405326945742,5.342870882093429e-05,6.038596512206943e-06
2019-09-04,RANGING,0.9999081791568751,8.042913652435565e-05,1.1391707377449015e-05
2019-09-05,RANGING,0.9998908991385346,7.944005952596948e-05,2.9660801374494542e-05
2019-09-06,RANGING,0.9999521555732647,3.991148476020193e-05,7.932942752585334e-06
2019-09-09,RANGING,0.9999647709285555,2.8899529489117274e-05,6.329541141772967e-06
2019-09-10,RANGING,0.9997542237415246,0.00013380344861552363,0.00011197281043775203
2019-09-11,RANGING,0.9876706650532023,0.001703494093547561,0.010625840852578516
2019-09-12,RANGING,0.5861019078650536,0.013638704585175824,0.4002593875498763
2019-09-13,RANGING,0.9245957213896053,0.0581523330864129,0.01725194552390449
2019-09-16,RANGING,0.9070560107037289,0.0870296168209969,0.0059143724758901825
2019-09-17,RANGING,0.8248671796055358,0.17080007687213858,0.004332743521819654
2019-09-18,RANGING,0.6973080823928587,0.30065205044928445,0.0020398671577343368
2019-09-19,RANGING,0.4763911927966011,0.5224817978287659,0.0011270093750526098
2019-09-20,TREND,0.1867819635350016,0.8120549943228527,0.0011630421421098354
2019-09-23,TREND,0.05093932292738675,0.9488052917992041,0.00025538527387593626
2019-09-24,TREND,0.006674752897565437,0.9932726110546739,5.26360482958745e-05
2019-09-25,TREND,0.00019372483160370028,0.9997904534293607,1.5821739232679423e-05
2019-09-26,TREND,2.526337926013299e-06,0.9999896290711422,7.844590117754292e-06
2019-09-27,TREND,2.422869706525491e-07,0.9999977696759148,1.9880377021315417e-06
2019-09-30,TREND,5.056207998219758e-08,0.9999991231183437,8.263204834422127e-07
2019-10-01,TREND,7.66569192331386e-09,0.9999995998842569,3.924495591139212e-07
2019-10-02,TREND,2.4034756821402048e-09,0.9999997629638809,2.3463239293060294e-07
2019-10-03,TREND,6.439179992192171e-09,0.9999997171562827,2.7640406599980184e-07
2019-10-04,TREND,1.169136374851345e-08,0.9999996398510769,3.484571679515999e-07
2019-10-07,TREND,2.4869982600122695e-08,0.9999994962310116,4.788982703903945e-07
2019-10-08,TREND,3.781778943171931e-08,0.9999994071005797,5.550818966446659e-07
2019-10-09,TREND,6.023449614414134e-08,0.9999992954183408,6.443473878693708e-07
2019-10-10,TREND,6.154605298794416e-07,0.9999979475454128,1.4369935255271553e-06
2019-10-11,TREND,0.00018121391870372022,0.9998106106061821,8.175475016907296e-06
2019-10-14,TREND,0.012353560148647557,0.9875462622073404,0.00010017764468775332
2019-10-15,TREND,0.14068661076606415,0.8589313371547176,0.0003820520788898963
2019-10-16,RANGING,0.48472012077299464,0.5149265192248601,0.00035336000176616083
2019-10-17,RANGING,0.684411769183544,0.31496249275505095,0.0006257380620437889
2019-10-18,RANGING,0.8430454343435883,0.15671633387661887,0.00023823177890155937
2019-10-21,RANGING,0.9274966215458718,0.07243329965424687,7.007879943051372e-05
2019-10-22,RANGING,0.9682239054045814,0.03173641504697374,3.967954848795592e-05
2019-10-23,RANGING,0.9879932587374207,0.011984914569978107,2.1826692355846012e-05
2019-10-24,RANGING,0.9946680963769964,0.0052950495042649185,3.685411916512738e-05
2019-10-25,RANGING,0.9985264746737754,0.0014653516399448182,8.173686799658057e-06
2019-10-28,RANGING,0.9996162147171036,0.0003784840200305543,5.301263357405379e-06
2019-10-29,RANGING,0.9998376533650744,0.00015719533751363098,5.15129768315841e-06
2019-10-30,RANGING,0.9998610953427924,0.0001338812741527268,5.023383677188648e-06
2019-10-31,RANGING,0.9997604435121022,0.00023125614667592918,8.300340416397528e-06
2019-11-01,RANGING,0.9996646276589649,0.0003283703624049578,7.0019780504025455e-06
2019-11-04,RANGING,0.9995807609074068,0.00041265818932913504,6.580902367047326e-06
2019-11-05,RANGING,0.9995994935101229,0.0003664301985356881,3.4076290824613886e-05
2019-11-06,RANGING,0.9998721650706541,0.00011563779512597232,1.2197134599124119e-05
2019-11-07,RANGING,0.9999583061778214,3.5360451645562794e-05,6.3333701518633265e-06
2019-11-08,RANGING,0.9999622963364654,2.656544133769905e-05,1.113822310238033e-05
2019-11-11,RANGING,0.999977283437785,1.6799764073831908e-05,5.916798148071087e-06
2019-11-12,RANGING,0.9999845730370347,1.1253107668717919e-05,4.173854866441666e-06
2019-11-13,RANGING,0.9999811476058246,1.2669751889228552e-05,6.182641531799822e-06
2019-11-14,RANGING,0.99998177534562,1.2611424972438135e-05,5.613230104733678e-06
2019-11-15,RANGING,0.9999865450277199,9.071889012851738e-06,4.383082823031853e-06
2019-11-18,RANGING,0.9999862160734235,8.576318905057615e-06,5.20760681348086e-06
2019-11-19,RANGING,0.9999850478824627,8.894551426962736e-06,6.057566327106227e-06
2019-11-20,RANGING,0.999986865411159,7.3986701459674705e-06,5.735919394169612e-06
2019-11-21,RANGING,0.9999865077098361,7.077336289871975e-06,6.414954744371347e-06
2019-11-22,RANGING,0.9999873062575566,5.886810706991706e-06,6.80693190285643e-06
2019-11-25,RANGING,0.9999814256513415,7.554936453476047e-06,1.1019411973651274e-05
2019-11-26,RANGING,0.9999806203745487,8.524732179263968e-06,1.0854892366192218e-05
2019-11-27,RANGING,0.9999855046967354,6.89899810496458e-06,7.5963047919474476e-06
2019-11-28,RANGING,0.9999784563671353,1.0679915439412873e-05,1.0863717774117948e-05
2019-11-29,RANGING,0.9999853108589581,7.312809286578801e-06,7.376331223184359e-06
2019-12-02,RANGING,0.9999238684218252,1.1597688635566388e-05,6.453388997856701e-05
2019-12-03,RANGING,0.9999587375769199,1.017236633096701e-05,3.109005654137509e-05
2019-12-04,RANGING,0.9999837594741641,6.853477256799505e-06,9.387048618465368e-06
2019-12-05,RANGING,0.9999777708505078,9.716012145140613e-06,1.2513136989884226e-05
2019-12-06,RANGING,0.9999471349242101,1.4199058750840248e-05,3.866601768338677e-05
2019-12-09,RANGING,0.9999563240478333,1.3802046934375106e-05,2.9873904661490478e-05
2019-12-10,RANGING,0.9999731809288513,9.985579725338242e-06,1.6833491554886272e-05
2019-12-11,RANGING,0.9999639777446481,1.2663446515447142e-05,2.3358808985291105e-05
2019-12-12,RANGING,0.9999730787644188,8.097511752172306e-06,1.8823723832006783e-05
2019-12-13,RANGING,0.9999675455374618,6.322330893493112e-06,2.6132131701111317e-05
2019-12-16,RANGING,0.9999766430081977,5.716007426011045e-06,1.7640984127499853e-05
2019-12-17,RANGING,0.999990870826712,4.253190189510167e-06,4.875983102692837e-06
2019-12-18,RANGING,0.9999906550056129,4.817078754117036e-06,4.527916140499843e-06
2019-12-19,RANGING,0.9999887783116985,5.682180259847029e-06,5.539507639196114e-06
2019-12-20,RANGING,0.9999902773633663,4.395919993599977e-06,5.3267159156698205e-06
2019-12-23,RANGING,0.999985025594719,5.5345874708238395e-06,9.439818470614751e-06
2019-12-24,RANGING,0.9999881002839609,4.797936774128526e-06,7.101779530413314e-06
2019-12-25,RANGING,0.9999873858809912,4.740484483186859e-06,7.873634107819696e-06
2019-12-26,RANGING,0.9999836317049746,5.774403508973254e-06,1.0593891934462528e-05
2019-12-27,RANGING,0.9999721399242112,5.656292786799958e-06,2.2203783293842075e-05
2019-12-30,RANGING,0.9999371465582332,1.3539443299877597e-05,4.9313998567578445e-05
2019-12-31,RANGING,0.9999788137945546,1.4771889418902284e-05,6.41431690997482e-06
2020-01-01,RANGING,0.9999660023617651,2.1870791427042563e-05,1.2126847162867535e-05
2020-01-02,RANGING,0.9999558057513942,3.0514404666069486e-05,1.3679844361642468e-05
2020-01-03,RANGING,0.9999677224812048,2.0146835580758166e-05,1.2130682426866231e-05
2020-01-06,RANGING,0.9999749412156425,1.7427575834527892e-05,7.63120896108818e-06
2020-01-07,RANGING,0.9999778481758503,1.239281025573696e-05,9.759014736152739e-06
